,Mobility Profile
2016-01-01 03:36:00+00:00,130587.23717066208
2016-01-01 03:37:00+00:00,110511.1398040158
2016-01-01 03:38:00+00:00,93288.55768079366
2016-01-01 03:39:00+00:00,96219.67490293046
2016-01-01 03:40:00+00:00,84622.26801330406
2016-01-01 03:41:00+00:00,95681.05308733016
2016-01-01 03:42:00+00:00,100355.05728748754
2016-01-01 03:43:00+00:00,108806.03888876221
2016-01-01 03:44:00+00:00,100959.54903028614
2016-01-01 03:45:00+00:00,100959.54903028614
2016-01-01 03:46:00+00:00,94208.81205889086
2016-01-01 03:47:00+00:00,91767.80262605262
2016-01-01 03:48:00+00:00,90087.7564687513
2016-01-01 03:49:00+00:00,81271.17103269121
2016-01-01 03:50:00+00:00,90880.0384548365
2016-01-01 03:51:00+00:00,79821.2533808104
2016-01-01 03:52:00+00:00,79821.2533808104
2016-01-01 03:53:00+00:00,79627.57161024453
2016-01-01 03:54:00+00:00,70375.61851265767
2016-01-01 03:55:00+00:00,70375.61851265767
2016-01-01 03:56:00+00:00,93043.02466995461
2016-01-01 03:57:00+00:00,81860.53163861501
2016-01-01 03:58:00+00:00,85740.91265332699
2016-01-01 03:59:00+00:00,78554.97701013437
2016-01-01 04:00:00+00:00,69462.88997318306
2016-01-01 04:01:00+00:00,59454.29045579448
2016-01-01 04:02:00+00:00,87633.16485776677
2016-01-01 04:03:00+00:00,87747.74852711389
2016-01-01 04:04:00+00:00,113219.14186133968
2016-01-01 04:05:00+00:00,113213.59328676996
2016-01-01 04:06:00+00:00,133474.57505645195
2016-01-01 04:07:00+00:00,144365.93237559474
2016-01-01 04:08:00+00:00,151809.4747308155
2016-01-01 04:09:00+00:00,151809.4747308155
2016-01-01 04:10:00+00:00,126739.34315613341
2016-01-01 04:11:00+00:00,98560.46875416077
2016-01-01 04:12:00+00:00,95149.43701129404
2016-01-01 04:13:00+00:00,68351.40887356206
2016-01-01 04:14:00+00:00,58752.17885670481
2016-01-01 04:15:00+00:00,47987.57558697131
2016-01-01 04:16:00+00:00,69231.13918377891
2016-01-01 04:17:00+00:00,80078.25685071712
2016-01-01 04:18:00+00:00,61743.357176353704
2016-01-01 04:19:00+00:00,74080.24114713249
2016-01-01 04:20:00+00:00,85198.12788756297
2016-01-01 04:21:00+00:00,74984.6103775939
2016-01-01 04:22:00+00:00,82124.96955747607
2016-01-01 04:23:00+00:00,73698.86382675517
2016-01-01 04:24:00+00:00,86928.51556785211
2016-01-01 04:25:00+00:00,106630.04292745283
2016-01-01 04:26:00+00:00,103380.5194019153
2016-01-01 04:27:00+00:00,103759.31518129658
2016-01-01 04:28:00+00:00,103759.31518129658
2016-01-01 04:29:00+00:00,103759.31518129658
2016-01-01 04:30:00+00:00,92747.1064127788
2016-01-01 04:31:00+00:00,118909.79066767135
2016-01-01 04:32:00+00:00,88475.82062997112
2016-01-01 04:33:00+00:00,77628.98005261182
2016-01-01 04:34:00+00:00,68721.03018007962
2016-01-01 04:35:00+00:00,68721.03360130964
2016-01-01 04:36:00+00:00,50895.34266127462
2016-01-01 04:37:00+00:00,50895.34608250462
2016-01-01 04:38:00+00:00,50895.34722291462
2016-01-01 04:39:00+00:00,42644.800934920415
2016-01-01 04:40:00+00:00,27601.795315863044
2016-01-01 04:41:00+00:00,30106.531196143424
2016-01-01 04:42:00+00:00,39023.689670267864
2016-01-01 04:43:00+00:00,28495.504783475622
2016-01-01 04:44:00+00:00,28495.50022183562
2016-01-01 04:45:00+00:00,41444.43506846004
2016-01-01 04:46:00+00:00,41444.43164723005
2016-01-01 04:47:00+00:00,82969.03868890104
2016-01-01 04:48:00+00:00,104280.79598550247
2016-01-01 04:49:00+00:00,111577.75781159749
2016-01-01 04:50:00+00:00,111577.75895200748
2016-01-01 04:51:00+00:00,102660.60161829345
2016-01-01 04:52:00+00:00,103565.16806607839
